Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
ChitChat,filedata,accountdata,3,0,7,5,88,15,0,0,0.0,2,1,G:\ChitChat\account\filedata\accountdata.java,7
ChitChat,filedata,chathistory,2,0,4,4,67,10,0,0,1.0,1,0,G:\ChitChat\account\filedata\chathistory.java,10
ChitChat,filedata,objectread,6,4,5,5,48,6,0,0,0.0,1,1,G:\ChitChat\account\filedata\objectread.java,10
ChitChat,ui,createaccountWindow,18,2,4,4,211,13,0,0,0.0,1,4,G:\ChitChat\account\ui\createaccountWindow.java,17
ChitChat,ui,createaccountWindow.CustomeBorder,0,0,0,0,9,0,0,0,-1.0,0,0,G:\ChitChat\account\ui\createaccountWindow.java,285
ChitChat,ui,FileShow,11,0,4,2,70,10,0,0,0.0,1,0,G:\ChitChat\account\ui\FileShow.java,14
ChitChat,ui,loginwindow,12,0,4,4,179,8,0,0,0.5,2,4,G:\ChitChat\account\ui\loginwindow.java,27
ChitChat,ui,loginwindow.CustomeBorder,0,0,0,0,9,0,0,0,-1.0,0,0,G:\ChitChat\account\ui\loginwindow.java,262
ChitChat,ui,ObjectFileCreate,4,0,2,2,37,3,0,0,0.0,1,0,G:\ChitChat\account\ui\ObjectFileCreate.java,13
ChitChat,ui,personalchatroomui,62,36,26,26,670,128,0,0,0.19230769230769232,1,5,G:\ChitChat\account\ui\personalchatroomui.java,31
ChitChat,ui,personalchatroomui.CustomeBorder,0,0,0,0,9,0,0,0,-1.0,0,0,G:\ChitChat\account\ui\personalchatroomui.java,929
ChitChat,ui,personalchatroomui.CustomeBorder1,0,0,0,0,9,0,0,0,-1.0,0,0,G:\ChitChat\account\ui\personalchatroomui.java,942
ChitChat,ui,uimain,0,0,1,1,7,1,0,0,-1.0,0,2,G:\ChitChat\account\ui\uimain.java,6
ChitChat,User,useraccountlistener,0,0,1,0,3,1,0,0,-1.0,0,1,G:\ChitChat\account\User\useraccountlistener.java,4
ChitChat,User,userstructure,5,0,16,16,65,16,0,0,0.125,4,0,G:\ChitChat\account\User\userstructure.java,6
ChitChat,dictionary,DeleteListedWord,2,0,2,2,34,6,0,0,0.0,1,1,G:\ChitChat\dictionary\dictionary\DeleteListedWord.java,14
ChitChat,dictionary,Dictionary,4,0,9,9,64,10,0,0,0.0,5,0,G:\ChitChat\dictionary\dictionary\Dictionary.java,16
ChitChat,dictionary,DictionaryMainFrame,0,0,30,30,267,37,0,0,-1.0,1,5,G:\ChitChat\dictionary\dictionary\DictionaryMainFrame.java,10
ChitChat,dictionary,ImplementWord,6,0,2,2,58,4,0,0,0.0,1,1,G:\ChitChat\dictionary\dictionary\ImplementWord.java,20
ChitChat,dictionary,ListOfWord,0,0,1,1,25,2,0,0,-1.0,1,1,G:\ChitChat\dictionary\dictionary\ListOfWord.java,10
ChitChat,dictionary,WordSearch,3,0,2,2,55,6,0,0,0.0,1,1,G:\ChitChat\dictionary\dictionary\WordSearch.java,10
ChitChat,clint,clintsocket,16,16,2,2,31,2,2,0,1.0,0,0,G:\ChitChat\socket\clint\clintsocket.java,12
ChitChat,clint,clintthread,4,4,2,2,14,2,0,1,1.0,1,0,G:\ChitChat\socket\clint\clintthread.java,7
ChitChat,clint,file_name_transfer,0,0,2,2,18,2,0,1,-1.0,0,0,G:\ChitChat\socket\clint\file_name_transfer.java,15
ChitChat,server,clinthandaler2,16,16,13,13,224,42,0,0,0.0,1,1,G:\ChitChat\socket\server\clinthandaler2.java,7
ChitChat,server,serversocket,10,10,3,3,37,4,0,0,0.0,2,1,G:\ChitChat\socket\server\serversocket.java,8
ChitChat,tictactoy,TictacMainFrame,3,0,5,5,34,5,0,0,0.4,1,1,G:\ChitChat\tictactoy\tictactoy\TictacMainFrame.java,16
ChitChat,tictactoy,TicTacToy,10,0,6,3,118,33,0,0,0.3333333333333333,1,0,G:\ChitChat\tictactoy\tictactoy\TicTacToy.java,17
